samples,frequencies,BPM
0,57,110
-2.24E-07,57,
-6.73E-07,57,
-9.87E-06,57,
-0.051694084,3,
7.79E-04,3,
-0.14716047,3,
-0.04659249,3,
0.19152203,3,
0.067362845,3,
0.12104236,3,
0.035655078,3,
-0.010477402,3,
-0.10788233,3,
-0.018222809,3,
-0.16759469,3,
0.011582992,3,
0.013515697,3,
-0.011807161,3,
0.13164453,3,
0.03244961,3,
0.07904412,3,
0.005297268,3,
-0.016552644,3,
-0.10989515,3,
-0.006537493,3,
-0.13057865,3,
0.009269041,3,
0.04597226,3,
-0.006282133,3,
0.13535331,3,
0.028375963,3,
0.057607315,3,
-0.028177822,3,
-0.017687853,3,
-0.14057541,3,
6.28E-04,3,
-0.07662717,3,
0.016086578,3,
0.08975714,3,
0.03669537,3,
0.083152995,3,
-0.07916529,3,
0.019620784,3,
-0.03397706,3,
-0.03291343,3,
-0.009226182,3,
0.008734983,3,
0.023325527,3,
0.012433108,3,
-0.003159355,3,
0.00442258,3,
-0.006556343,3,
-0.001506132,5,
0.002818612,5,
-0.003637651,5,
-0.005882488,5,
0.007675844,4,
-0.005305122,4,
0.001845865,4,
0.002506032,3,
-7.34E-04,3,
0.001911388,3,
-1.46E-04,3,
6.78E-04,3,
-0.002675449,3,
0.002054775,3,
-0.004874734,3,
0.004546446,5,
-0.002653459,5,
1.37E-04,5,
4.49E-05,5,
5.19E-04,2,
8.81E-04,2,
-7.74E-05,2,
8.02E-04,5,
-0.001539791,5,
0.002253364,5,
-0.00306208,5,
0.00285474,5,
-0.002564374,5,
0.001220367,5,
-0.001984652,5,
-0.002746021,3,
-0.001644135,3,
0.001401565,3,
0.003410564,3,
0.003003513,3,
0.013589971,3,
-0.002000472,3,
0.012112337,6,
-0.036512937,6,
0.028469535,6,
-0.17996776,6,
0.05120805,3,
0.04812151,3,
0.19205093,3,
0.044530757,3,
0.016663495,3,
-0.1052374,3,
-0.018292595,3,
-0.1880408,3,
0.009299783,3,
-0.007705913,3,
-0.017223807,3,
0.12846845,3,
0.026715672,3,
0.10351338,3,
0.003272786,3,
0.004836138,3,
-0.10780088,3,
-0.01155584,3,
-0.13766794,3,
0.006116306,3,
0.035282582,3,
-0.013660206,3,
0.13713634,3,
0.019209918,3,
0.07886438,3,
-0.026597865,3,
-0.006771088,3,
-0.12772235,3,
-0.003935421,3,
-0.10394848,3,
5.84E-04,3,
0.07761607,3,
-0.009652755,3,
0.14137313,3,
0.011589948,3,
0.056077845,3,
-0.10316041,3,
-0.042753555,3,
-0.055660695,3,
0.035095215,3,
0.016385246,3,
-0.032404732,3,
0.06094854,3,
-0.003892786,3,
0.003275254,3,
-0.026108237,3,
-0.013335733,3,
0.00661491,3,
0.002199734,3,
0.013253268,3,
2.57E-04,3,
-0.006383559,3,
-0.001295202,3,
0.002173929,3,
9.44E-04,3,
-2.52E-04,3,
0.001276802,3,
-0.002228905,3,
3.53E-04,3,
8.42E-04,3,
-3.14E-05,3,
-0.001289368,3,
-3.99E-04,3,
0.001432755,3,
0.001373964,3,
-9.92E-04,3,
-9.50E-04,3,
8.13E-04,3,
9.76E-05,3,
-3.39E-05,3,
-0.004619598,3,
0.001572104,4,
0.002166524,4,
-4.37E-04,4,
0.001126233,4,
-3.86E-04,4,
-3.94E-04,4,
4.55E-04,4,
-0.001811084,4,
0.004618925,2,
4.59E-05,2,
-0.001103121,2,
0.003652124,2,
-0.007341273,3,
-0.006280114,3,
-0.00839772,3,
0.0293569,3,
-0.023431666,3,
0.10962744,3,
0.13351889,3,
-0.25419122,3,
0.061076444,3,
-0.11064978,3,
-0.08967905,3,
0.16328049,3,
-0.19676837,3,
0.21416092,3,
0.011341544,3,
0.016391754,3,
0.14557827,3,
-0.19616543,3,
0.07738966,3,
-0.069999024,3,
-0.124862,3,
0.11734301,3,
-0.16252854,3,
0.14321406,3,
0.044252507,3,
-0.03518587,3,
0.17641583,2,
-0.15817104,2,
0.09658297,2,
-0.04494409,2,
-0.16754061,2,
0.10360022,2,
-0.13954723,2,
0.09530527,2,
0.08863584,2,
-0.08549634,2,
0.17548056,2,
-0.12643836,2,
0.02358762,2,
0.03102179,2,
-0.07623762,2,
0.045573965,3,
-0.00572631,3,
-0.040873583,3,
0.030430064,3,
-0.019802991,2,
0.011153726,2,
0.005444919,2,
-0.00329702,2,
0.005256877,2,
-0.00907135,2,
0.006771761,2,
-0.011076534,2,
0.007438884,2,
8.82E-04,2,
-0.003638324,2,
0.004062877,3,
-0.00376376,3,
0.002642015,3,
-2.48E-04,3,
2.95E-04,3,
-5.32E-04,3,
-9.78E-05,3,
-0.001284431,3,
0.00111075,3,
-7.32E-04,3,
-6.13E-04,3,
0.012304418,5,
-0.005463768,5,
-0.018677207,5,
0.15479504,5,
0.020442514,2,
-0.25853908,2,
0.0656947,2,
-0.14945288,2,
0.03353994,4,
0.1580869,4,
-0.15487559,4,
0.25108472,2,
-0.06577638,2,
0.06907093,2,
0.06324679,2,
-0.22783527,3,
0.070795394,3,
-0.09945095,3,
-0.041474063,3,
0.14024039,3,
-0.15986992,3,
0.19387683,3,
-0.020151699,3,
0.013361987,3,
0.12117812,3,
-0.20302044,3,
0.088815354,3,
-0.079780355,3,
-0.08199377,3,
0.14525402,3,
-0.09210833,2,
0.043536466,2,
-0.001609466,2,
-0.010711446,2,
0.034731697,3,
-0.014590544,3,
0.015469271,3,
-0.007425421,3,
-0.005033605,3,
0.002645156,3,
-0.011570201,3,
0.008932674,4,
7.14E-04,4,
0.001419741,4,
0.003060958,4,
1.46E-04,3,
0.005707909,3,
-5.53E-04,3,
-0.044072542,3,
-0.03495744,2,
0.0810805,2,
-0.05149056,2,
0.052690618,2,
0.007171968,2,
-0.019298442,2,
0.02727991,2,
-0.036091525,2,
0.012532627,2,
0.001469332,2,
-0.009847977,2,
0.023297478,2,
-0.018570395,2,
0.002313726,2,
0.006393657,2,
-0.019347472,2,
0.015561721,2,
0.010610469,2,
-0.037423752,2,
0.03233629,3,
-0.001371271,3,
-0.087814555,3,
0.038675196,3,
0.027243447,3,
-0.066288665,3,
0.24669826,3,
-0.13930063,3,
0.12433624,3,
-0.06421145,3,
-0.17870308,3,
0.07682127,3,
-0.13161357,3,
0.08060276,3,
0.0673128,3,
-0.073759414,3,
0.18729086,3,
-0.09769193,3,
0.09648738,2,
-0.013703964,2,
-0.16787495,2,
0.07639268,2,
-0.12159213,2,
0.052443113,2,
0.076733984,2,
-0.10559374,2,
0.17581469,2,
-0.09237447,2,
0.08396093,2,
0.036175337,2,
-0.1688919,3,
0.09790869,3,
-0.12825382,3,
0.022731557,3,
0.07992217,3,
-0.12334083,3,
0.16813593,3,
-0.08034628,3,
0.064621866,3,
0.07291614,3,
-0.16073631,3,
0.12159168,3,
-0.13133913,3,
-0.016470293,3,
0.11658657,3,
-0.10687817,4,
0.03273504,4,
0.048859987,4,
-0.087706625,4,
0.09806061,4,
0.056545258,4,
-0.14055768,4,
0.14161368,4,
-0.020457324,4,
-0.13038209,4,
0.1616451,4,
-0.01329983,4,
-0.14211789,4,
0.15547718,4,
0.007369546,4,
-0.15384652,3,
0.13090426,3,
0.029201956,3,
-0.16100705,4,
0.10787481,4,
0.053367503,4,
-0.15999492,4,
0.08704264,4,
0.07451215,4,
-0.15197216,4,
0.060247757,4,
0.084171295,4,
-0.13471884,4,
0.029391007,4,
0.08721655,4,
-0.11265833,4,
-4.44E-05,4,
0.09174167,4,
-0.08742725,4,
-0.026326347,4,
0.092111476,4,
-0.06320707,4,
-0.01949602,3,
0.06410711,3,
-0.07218978,3,
0.02743059,3,
0.016096676,4,
0.008463242,4,
0.006964628,4,
-0.012539022,4,
-0.003433003,3,
0.003496507,3,
5.51E-04,3,
-0.010554594,4,
0.004831202,4,
-6.41E-04,4,
-0.001869202,4,
0.001199835,2,
0.003626431,2,
-0.00239563,2,
-0.001241347,2,
0.003759048,3,
-0.002794378,3,
-0.001822528,3,
0.002090454,3,
-1.96E-04,3,
-0.001789093,3,
0.002172358,3,
8.02E-04,4,
-6.64E-04,4,
2.50E-04,4,
3.61E-04,4,
2.94E-04,4,
-0.001624388,4,
3.98E-04,4,
0.001052408,4,
-0.001780117,3,
7.23E-05,3,
0.001298119,3,
-5.87E-04,3,
-2.12E-04,3,
3.96E-04,3,
-3.42E-04,3,
0.002294877,3,
-4.42E-04,3,
-0.010184008,3,
0.008875118,3,
4.25E-04,3,
-0.008850322,3,
0.005614898,3,
0.014056374,3,
-0.012293423,4,
-0.005725412,4,
-0.005844116,4,
0.07838485,4,
0.053268433,4,
-0.21153641,4,
0.29946405,4,
-0.0566404,3,
-0.24575873,3,
0.24911903,3,
0.002456216,3,
-0.22780228,4,
0.19257714,4,
0.04250358,4,
-0.21400227,4,
0.14045379,4,
0.07589251,4,
-0.20792614,4,
0.101314545,4,
0.10569808,4,
-0.20115572,4,
0.065486684,4,
0.13120136,3,
-0.18398778,3,
0.023283565,3,
0.14974146,3,
-0.1548583,4,
-0.02511664,4,
0.1624693,4,
-0.12318308,4,
-0.07040327,4,
0.16817856,4,
-0.09063272,4,
-0.10700787,4,
0.16471033,3,
-0.056224823,3,
-0.13302365,3,
0.1541941,3,
-0.013526019,3,
-0.11017294,3,
0.13615866,3,
-0.04071404,3,
-0.049567055,3,
0.12547055,3,
-0.10402926,3,
-0.013495726,4,
0.071432896,4,
-0.024816401,4,
-0.017196879,4,
0.03861203,4,
-0.033672445,4,
-0.002199285,4,
0.016358094,3,
-0.01663309,3,
0.001398311,3,
0.003162272,3,
-0.007674049,5,
0.005548141,5,
-0.002617331,5,
-0.004419215,5,
0.006132238,5,
-0.002250447,5,
-0.001991272,5,
0.001890968,5,
2.59E-04,5,
-9.25E-04,5,
-5.14E-05,5,
0.001050388,5,
-1.88E-04,5,
-9.72E-04,5,
8.74E-04,5,
2.05E-04,4,
-4.36E-04,4,
-6.95E-04,4,
3.15E-04,4,
6.04E-04,4,
-0.001181659,4,
0.001062505,4,
-5.29E-04,4,
5.86E-04,3,
-2.89E-04,3,
0.001025705,3,
-8.39E-04,3,
-0.001566046,3,
-9.42E-06,3,
5.40E-04,3,
9.50E-04,3,
-3.74E-04,3,
-4.91E-04,3,
0.018012328,3,
-0.012637643,3,
-0.011154624,3,
0.04582596,3,
0.1044417,3,
-0.09663862,3,
-0.1350948,3,
-0.0715792,3,
0.11453516,3,
0.17477058,3,
-0.0429959,3,
-0.078038834,3,
-0.14398372,3,
0.045768514,3,
0.17263031,3,
0.026802287,3,
-0.06629831,3,
-0.1650918,3,
0.002247081,3,
0.17329228,3,
0.076319076,3,
-0.056530673,3,
