samples,frequencies,BPM
1.52E-06,35,105
-3.75E-04,35,
-1.95E-04,35,
0.001742608,35,
-0.001466971,35,
0.008154337,35,
-0.0182751,3,
-0.085092224,3,
-0.007561878,3,
0.23903501,3,
-0.46986553,3,
0.6128735,3,
0.04478556,2,
-0.81942904,2,
0.63091177,2,
-0.26235968,2,
-0.13215984,2,
0.6091234,2,
-0.38005742,2,
0.009405592,2,
0.23241751,2,
-0.50022143,2,
0.23882873,2,
0.2906114,2,
-0.41365343,2,
0.31972107,2,
-0.18321484,2,
-0.13724184,2,
0.21933176,2,
-0.1701544,3,
0.1058857,3,
-0.004585739,3,
0.008488883,3,
-0.06103347,3,
0.067190826,3,
0.011751462,3,
0.029753795,3,
-0.015087971,3,
-0.03395587,3,
0.037154306,3,
-0.068002716,8,
0.026277019,8,
-7.19E-04,8,
9.49E-04,8,
-0.04720097,8,
0.020616245,3,
0.005860118,3,
-0.003985177,3,
0.03540056,3,
-0.036039773,3,
0.0552039,3,
-0.062341604,3,
0.043735165,3,
-0.014486228,3,
0.003355752,3,
0.00479521,3,
-0.011512115,3,
0.009065645,3,
-0.003258697,3,
0.018408278,3,
-0.019636914,3,
0.015060458,3,
-0.026496785,3,
0.00570753,3,
-0.007974405,3,
0.011510764,3,
-0.016553592,3,
0.007871442,3,
5.95E-04,5,
0.00840128,5,
0.009419095,5,
0.002203916,5,
-0.022216054,5,
-0.1751947,5,
0.23679075,2,
0.102740765,2,
-0.44793677,2,
0.6384196,2,
-0.17444712,2,
-0.7669191,2,
0.81639045,2,
-0.4331825,2,
0.06529496,2,
0.58114463,2,
-0.57581115,2,
0.21468626,2,
0.10013192,2,
-0.5092725,2,
0.45218882,2,
0.1655906,2,
-0.33154377,2,
0.30798885,2,
-0.22071163,2,
-0.21445484,2,
0.28751913,2,
-0.22086489,2,
0.112346716,3,
0.031443063,3,
-0.034351684,3,
-0.024135893,3,
0.017851263,3,
0.05124759,3,
0.01564161,5,
-0.012727923,5,
-0.01389495,5,
0.023129556,5,
-0.05737068,5,
0.040028326,3,
-0.023627661,3,
0.009920069,3,
-0.04767021,3,
0.005888981,3,
0.035718225,3,
-0.017807547,3,
0.04624088,3,
-0.06036235,3,
0.05651913,3,
-0.05090781,3,
0.01951724,3,
0.018831776,3,
-0.018399838,3,
0.019031458,3,
-0.03413057,3,
0.0236626,3,
-0.011066842,5,
0.004872347,5,
-6.12E-04,5,
0.007793798,5,
-0.006058617,5,
0.004993371,5,
-0.006183692,5,
0.011004388,5,
-0.007886296,5,
0.002205266,5,
-0.009176541,5,
0.007411822,8,
-5.24E-04,8,
0.003341067,8,
0.05925997,8,
0.12945546,8,
