samples,frequencies,BPM
0,80,110
0,80,
2.24E-07,80,
-1.46E-06,80,
-0.006725311,6,
0.012543061,6,
0.037065506,6,
-0.051448375,6,
-0.014640472,5,
0.028226629,5,
-0.03788701,5,
0.009413663,5,
-0.009425219,5,
-0.001090106,5,
0.058079664,5,
-0.016937144,5,
-0.012490104,5,
0.020612493,5,
-0.013078353,5,
-0.012342453,5,
0.052900538,5,
-0.06199298,5,
-0.024550382,5,
0.04362701,5,
-0.03798193,5,
0.018892176,5,
0.06781915,5,
-0.09799161,6,
0.071927354,6,
0.019912831,6,
-0.08827097,6,
0.11479939,6,
-0.09504879,6,
-0.021392485,6,
0.109749965,6,
-0.113504075,6,
0.043730006,6,
0.06572185,6,
-0.11532626,6,
0.11003281,6,
-0.067471,6,
-0.054598864,6,
0.14313653,6,
-0.10887224,6,
0.02829462,6,
0.04853619,6,
-0.102901906,6,
0.09660822,6,
-0.017528646,6,
-0.06385332,6,
0.06467651,6,
-0.040468328,6,
0.014955409,6,
0.015540179,6,
-0.01976877,6,
0.023266511,6,
-0.010027941,6,
0.010748134,6,
-0.031977262,6,
0.029956818,6,
0.009453605,6,
-0.0707108,6,
0.081853084,6,
-0.05193553,6,
-0.020983864,6,
0.098458685,6,
-0.11895034,6,
0.06430009,6,
0.006481058,5,
-0.044860616,5,
0.06613574,5,
-0.04503295,5,
0.014872382,5,
0.026130116,5,
-0.012589735,5,
-0.005560931,5,
-0.007310194,5,
-0.004162957,5,
-0.011699788,5,
0.04560437,5,
-0.068056665,5,
0.0450564,5,
-0.0678463,5,
0.024150625,5,
0.07607886,5,
-0.061033584,5,
0.038523283,5,
0.003536,5,
-0.07528698,5,
0.08290437,5,
-0.022483826,7,
3.60E-04,7,
0.001560099,7,
-0.0375861,7,
0.013226116,40,
0.002375883,40,
0.012231491,40,
0.016164891,40,
-0.030555949,5,
0.03281268,5,
-0.014098112,5,
-0.004203572,5,
6.55E-04,3,
2.98E-04,3,
-3.75E-04,3,
-4.40E-05,5,
-5.18E-05,5,
8.98E-07,5,
4.94E-06,5,
-1.31E-04,5,
1.57E-04,5,
5.72E-05,5,
-2.06E-04,5,
1.92E-04,7,
0.014308481,7,
-0.01996938,7,
0.008563435,7,
0.026796902,8,
-0.025072321,8,
0.011048597,8,
-0.025398254,5,
0.01692772,5,
-0.003436481,5,
-0.014283461,5,
0.022683311,5,
-0.013390934,5,
-0.00313972,5,
0.006280787,5,
-0.002030541,5,
5.41E-05,5,
4.62E-05,5,
-3.31E-05,5,
-4.16E-05,5,
-1.10E-04,5,
1.88E-04,5,
-1.34E-04,8,
0.00239765,8,
0.012640785,8,
-0.010822184,8,
0.020506578,5,
-0.009485581,5,
-0.03261241,5,
0.021449706,5,
-0.004585378,5,
-0.007751689,5,
0.020688673,5,
-0.015778597,5,
5.52E-04,5,
0.00500522,5,
-0.00231496,5,
4.53E-04,5,
-4.77E-05,5,
-2.15E-04,5,
1.34E-04,5,
-4.12E-05,7,
-1.18E-05,7,
-6.17E-06,7,
-1.07E-04,7,
0.002393498,36,
-0.008740145,36,
0.022837022,36,
-0.016670115,36,
-0.014797322,5,
-0.010450812,5,
0.032656614,5,
-0.028591268,5,
0.036376055,5,
0.002595677,5,
-0.02186259,5,
