samples,frequencies,BPM
0.007720944,0,
-0.008171124,1,
-0.0023863972,6,
0.009674129,6,
-0.009936978,1,
8.931518E-4,32,
8.2886923E-4,21,
-0.001401509,1,
2.6189987E-4,8,
0.0023270033,16,
-0.0015523207,0,
0.0028750056,4,
-7.323556E-4,18,
0.002616185,18,
-0.002099837,3,
0.0014545519,12,
-0.0028741453,39,
0.003726268,1,
5.9695103E-5,15,
-0.003367475,10,
0.0040716706,1,
-5.564863E-4,10,
-0.0017517852,38,
7.095904E-4,1,
-0.0011080689,10,
-0.0034705345,15,
0.0036583468,1,
-0.0019152458,7,
0.0011099059,33,
-0.0015311395,11,
-8.8745105E-4,4,
-8.247828E-4,12,
0.0038125846,0,
-0.0032255396,3,
-0.002686672,16,
-0.0069623007,8,
0.009251201,1,
4.642843E-4,12,
-0.011612826,24,
0.011214365,1,
-5.8612635E-4,1,
-2.3840594E-5,15,
0.0019669551,8,
-0.0015321971,8,
0.003359216,116,
-0.0052833003,4,
0.014088459,4,
1.541491E-4,1,
-0.0033986913,1,
-7.699054E-4,1,
-0.037920345,1,
0.005956548,1,
2.2287741E-4,1,
0.00572069,1,
0.015333692,1,
0.004475258,1,
-2.682788E-4,1,
-0.010109032,1,
-0.009148019,1,
0.02100669,1,
-0.022057682,2,
0.0047382433,1,
-0.0019884172,1,
0.0068773683,2,
-2.7633025E-4,1,
-0.020355325,1,
-0.010556501,1,
-0.0017964729,1,
-7.9049455E-4,1,
4.6028133E-4,1,
0.0067234444,1,
3.2767278E-4,1,
-0.0059405006,1,
0.0072680484,1,
0.01205099,2,
-4.144726E-4,1,
0.0035822198,1,
-0.024381619,1,
0.012814076,1,
-0.0074250796,2,
-0.02639716,1,
0.02997598,1,
-0.0011132687,1,
-0.026705908,1,
0.008348413,1,
-2.541369E-4,1,
-0.006095019,1,
0.012634297,1,
0.0022104345,1,
0.0088398075,1,
0.0013837538,9,
3.657135E-4,9,
-0.0021415493,10,
-0.0020981317,6,
0.0029209636,2,
-0.006217362,1,
0.0048080366,1,
-0.0014261442,1,
2.644808E-4,1,
9.5116935E-4,14,
-1.6954604E-4,14,
6.4425013E-4,15,
4.994986E-4,16,
0.0016110416,16,
2.6855458E-4,21,
2.77102E-4,12,
9.06856E-4,12,
-1.7411578E-4,14,
6.413782E-4,15,
3.2303977E-4,18,
4.412053E-4,7,
-4.0016367E-4,16,
7.6707144E-4,18,
-2.6950092E-4,16,
-1.6254719E-4,18,
1.2366391E-4,5,
2.4091853E-4,8,
8.416321E-5,14,
6.0832984E-4,15,
-7.224798E-4,16,
1.1497229E-4,16,
4.7304676E-4,15,
2.1311548E-4,20,
-1.9015289E-4,20,
-6.921413E-5,15,
-1.8615753E-4,17,
