samples,frequencies,BPM
5.60E-07,8,165
-0.004333414,8,
0.002611799,12,
0.003056013,15,
-0.00730843,18,
0.006556838,18,
0.008048862,18,
-0.016376399,18,
0.00750831,18,
0.001425547,18,
-1.46E-04,18,
-0.003145819,18,
0.004357713,12,
-0.002351563,12,
8.66E-04,15,
-0.001451302,15,
9.25E-04,12,
-0.001797536,18,
0.003407548,18,
-0.002449282,18,
-6.74E-04,18,
0.00138852,18,
-0.001317078,12,
-0.006642911,12,
0.016053343,18,
-0.003818094,18,
-0.012665953,18,
0.010668462,18,
-0.001732291,18,
0.001852405,18,
-0.006263494,18,
0.004639449,18,
-0.002892377,18,
0.001027094,12,
0.002587462,18,
-0.002750352,18,
0.001727625,18,
-0.001120633,18,
1.69E-04,18,
8.54E-04,18,
-9.03E-04,18,
-0.004068326,18,
0.011307816,12,
4.08E-04,15,
-0.012668639,15,
-0.001656893,15,
0.011933135,15,
-0.001464291,15,
-0.007496627,15,
0.005940999,15,
-0.003851874,15,
0.004221512,18,
-0.00150688,18,
-5.15E-04,12,
-0.002271761,18,
0.004254731,18,
-0.003304267,18,
8.55E-04,18,
3.59E-04,18,
5.23E-04,18,
-8.70E-04,18,
-0.004413888,18,
0.003901928,12,
0.008150277,15,
3.44E-04,20,
-0.017493298,20,
0.008871075,21,
0.006042376,20,
-0.007470536,20,
0.003591937,21,
-0.001868716,21,
-0.001227944,20,
0.002645653,15,
3.51E-05,15,
-0.003454877,15,
0.002311214,15,
0.001326821,15,
1.29E-04,15,
-0.003089009,15,
0.001811048,15,
0.002035152,15,
-0.00216415,12,
-0.008396739,12,
0.021004723,15,
-0.007012735,15,
-0.016648503,15,
0.011377279,15,
0.005309633,20,
-0.008119445,20,
0.002508966,20,
8.36E-04,20,
-0.001982224,15,
0.001400464,12,
0.003350439,12,
-0.004569948,15,
3.85E-04,15,
0.00157276,20,
-8.85E-05,20,
-0.001226115,20,
6.29E-04,20,
-2.67E-04,20,
6.14E-04,14,
0.003349842,12,
-1.97E-04,15,
-0.012940073,20,
0.008484641,20,
0.008455639,20,
-0.010139443,20,
7.22E-04,20,
0.00322745,20,
-0.001964607,20,
0.00236668,20,
-7.65E-04,12,
-7.34E-04,20,
-6.05E-04,20,
-8.11E-04,20,
0.001172926,20,
1.14E-05,20,
6.67E-04,20,
-0.001463918,21,
-0.004874265,21,
0.003734335,13,
0.011650728,12,
-0.016272185,15,
0.001620985,20,
0.009808512,20,
-0.006773328,20,
0.003663453,21,
-0.001763719,21,
-0.002574137,21,
0.003707124,21,
-6.82E-04,20,
1.36E-04,15,
-0.003404487,15,
0.001289793,20,
0.003773639,20,
-0.00206882,20,
-0.00145664,20,
0.002095844,20,
-4.40E-04,20,
-3.01E-04,20,
-0.001859945,12,
0.003334538,12,
-0.004555764,15,
0.010690745,20,
-0.008720502,20,
-0.004059293,20,
0.007982012,20,
-0.002885882,20,
7.51E-04,20,
-0.002079309,21,
-5.80E-04,20,
0.003906668,12,
-0.002132162,15,
-0.001388856,15,
0.001199129,15,
0.002885173,15,
-0.002946649,20,
-0.001440589,20,
0.002284078,20,
0.001581494,15,
0.002372018,12,
-0.008463142,12,
0.003704325,20,
6.34E-04,20,
0.002627363,16,
-0.002307108,16,
-0.001959381,16,
0.004523066,16,
-0.003029512,16,
1.23E-05,16,
0.001141685,16,
-0.002001335,12,
0.003378247,21,
-0.002027874,21,
-0.002418414,21,
0.002907344,21,
-7.40E-04,20,
-0.001036874,20,
6.39E-04,20,
-0.003153433,20,
0.007112395,12,
2.72E-04,16,
-0.005450202,20,
-2.69E-04,20,
0.009090252,21,
-0.006999484,20,
-0.003409152,20,
0.007885823,20,
-0.005081759,20,
-1.82E-04,20,
0.001955611,16,
-0.001064719,16,
-0.003060903,20,
0.002243206,20,
0.001010447,21,
-0.002772748,16,
9.66E-04,16,
0.00114008,16,
-2.18E-04,16,
-0.001292257,13,
-0.002843517,12,
0.005542285,16,
-0.009074762,20,
0.009188904,20,
-0.002605827,21,
-6.12E-04,20,
0.004986541,20,
-0.003778641,21,
0.001148739,21,
-9.91E-04,21,
3.79E-04,12,
0.001433722,12,
-0.004808683,20,
0.003097295,20,
0.001105814,20,
-0.003121594,20,
0.001902907,20,
6.96E-04,20,
-8.50E-04,20,
-0.004303815,16,
0.010351753,12,
-0.004770275,15,
-0.003345923,18,
-0.005417916,18,
0.015232288,18,
-0.008102051,18,
-0.002916265,18,
0.00427694,18,
-8.62E-04,18,
0.001552567,15,
-0.002893161,15,
9.40E-05,15,
0.002179566,20,
-0.001987599,20,
-7.29E-04,16,
0.001840759,16,
-4.56E-05,16,
-0.001132428,16,
0.001059717,16,
-8.23E-05,20,
-0.002141904,12,
-0.007086379,15,
0.016949164,15,
-0.003394446,15,
-0.006993176,18,
-0.00538589,18,
0.014906284,18,
-0.009510205,18,
0.003907004,18,
-0.003228645,18,
8.02E-04,18,
0.001187856,18,
-1.13E-04,18,
4.77E-04,18,
-6.27E-04,18,
0.002571935,18,
-0.003934588,18,
0.00114844,18,
0.001565034,18,
-0.001036986,15,
-0.001348843,12,
-7.82E-04,12,
0.009218168,18,
-0.015918933,18,
0.014913638,18,
-0.0078775,18,
0.003884161,18,
-0.005194073,18,
0.003082962,18,
0.002674394,18,
-0.003838138,18,
9.76E-04,14,
0.0037471,15,
-0.003660915,15,
-0.001495645,15,
6.62E-04,15,
0.002115029,18,
-8.73E-04,18,
-0.001485604,18,
0.005119831,18,
-0.007536379,12,
0.003109426,12,
0.015651308,18,
-0.015988136,18,
-0.005911699,18,
0.009903619,18,
-0.002697648,18,
0.002233464,18,
-0.006162341,18,
0.005122556,18,
-0.001885215,18,
-6.74E-04,16,
5.91E-05,16,
9.51E-04,15,
4.48E-04,15,
1.85E-04,18,
-0.002514154,18,
0.003114913,18,
-0.001798731,18,
-0.001807764,18,
-6.82E-05,12,
0.003771138,15,
0.002650729,15,
-0.014205493,18,
0.018100217,18,
-0.009225633,18,
-2.76E-04,18,
0.002208829,18,
-8.98E-04,18,
0.00299827,18,
-0.004144956,18,
0.002586641,18,
-0.001938478,18,
0.002356527,18,
-0.003181838,18,
0.001540847,18,
0.001574179,18,
-0.001418194,18,
-7.14E-04,18,
-7.60E-04,12,
0.002204425,15,
0.011789953,19,
-0.014383985,19,
0.005974779,19,
-0.011442413,19,
0.012491791,19,
-0.00673798,19,
-0.001499788,19,
0.005769562,19,
-0.001392813,19,
-0.001389378,12,
-0.001821499,15,
0.001490494,15,
7.90E-04,18,
-0.001349738,18,
0.002580296,18,
-0.003548602,18,
0.002885434,18,
-4.59E-04,18,
0.003938769,12,
0.012249807,15,
-0.017612591,19,
-0.00329766,19,
-0.003400456,19,
0.006903669,19,
0.009449998,19,
-0.011293445,19,
0.003904951,19,
-0.001846321,19,
0.002074792,15,
5.18E-05,15,
-0.002594032,19,
0.001079014,19,
-3.67E-04,19,
9.50E-05,19,
7.94E-04,19,
-0.001389043,19,
0.002154782,19,
-0.001417783,19,
6.40E-04,19,
-0.003634563,12,
0.00237198,15,
0.013492271,15,
-0.01335816,19,
-0.001790258,19,
-0.002383589,19,
0.005489432,19,
0.00431016,19,
-0.008645104,19,
0.005062686,19,
-4.35E-04,15,
-0.00182889,15,
-0.002240407,15,
7.67E-04,15,
0.005508206,15,
-0.002479479,15,
-0.001397105,15,
-2.51E-05,15,
0.005392385,12,
-0.007220752,12,
-0.004628698,12,
0.015301117,15,
-0.003820483,15,
-0.013926632,20,
0.011774314,21,
6.75E-04,20,
-0.004348121,20,
0.003811301,20,
-0.002224767,20,
-0.002461077,20,
0.005451994,12,
4.57E-04,19,
-0.005055743,19,
0.001476833,19,
5.47E-04,19,
-0.00196595,19,
0.003527961,19,
-0.00252733,19,
4.13E-04,19,
-0.002736579,12,
0.004988744,12,
-0.001968862,15,
-0.013270332,15,
0.007560417,15,
0.017131947,20,
-0.012537552,20,
-0.004831042,20,
0.008763428,20,
-0.00345958,15,
0.001171321,21,
5.34E-05,21,
-0.00147478,19,
1.00E-03,19,
-8.57E-04,20,
7.80E-04,21,
-6.73E-05,21,
7.21E-04,20,
-0.001006341,20,
1.10E-04,20,
5.12E-04,13,
0.005122631,12,
-0.010915895,15,
0.006645076,15,
0.001676713,15,
-0.002496835,15,
-0.006286898,20,
0.005365809,20,
0.006019831,20,
-0.006606108,20,
-0.00248015,21,
0.004333377,15,
-0.001071736,15,
-0.002552936,15,
0.005036707,15,
-5.97E-04,15,
-0.00207371,15,
-9.48E-05,15,
2.76E-04,15,
4.17E-04,15,
0.003114316,13,
0.003136525,12,
-0.011083636,12,
0.006765041,15,
0.009249521,20,
-0.021427961,20,
0.00612677,20,
0.012522547,20,
-0.010124998,20,
-5.19E-04,21,
0.00160124,20,
0.001404197,16,
-1.88E-04,16,
-3.51E-04,15,
4.40E-04,20,
-7.38E-04,20,
-6.91E-04,20,
0.001536629,20,
-9.42E-04,21,
-7.71E-04,20,
9.84E-04,12,
0.005943463,12,
-0.013896211,12,
0.009255867,15,
0.010518189,15,
-0.017102908,15,
0.001100999,20,
0.005973883,20,
-8.03E-04,20,
-6.82E-04,20,
-0.002841315,15,
0.002778981,12,
0.001554247,12,
-6.47E-04,15,
-0.002934592,15,
0.001228168,15,
0.001826949,20,
-0.002065535,20,
1.50E-04,20,
5.14E-04,20,
-0.005023643,12,
0.008896121,12,
0.004927193,12,
-0.010957961,16,
-0.007207576,16,
0.012170602,16,
-0.003859488,16,
-0.006328628,16,
0.007636076,16,
-1.55E-04,16,
-0.004761579,12,
0.003753222,12,
0.002911002,12,
-0.001120931,12,
-0.00210107,15,
0.001733149,15,
-0.001421367,20,
-8.67E-05,20,
0.002467833,21,
-0.00149516,20,
-0.001429616,15,
0.005904532,12,
-0.004956531,12,
-0.008736852,16,
0.00382959,16,
-0.002879537,16,
0.006896502,20,
-0.002121039,20,
-4.52E-04,20,
0.003008721,16,
-0.001173971,21,
0.001017875,16,
0.001248436,16,
2.77E-04,16,
5.54E-04,16,
-0.001859012,16,
0.001603255,16,
-2.53E-04,16,
-0.0017411,12,
0.001723855,12,
-4.97E-04,12,
-0.004616978,12,
0.010756252,12,
-0.006212097,16,
-0.007534774,16,
0.005076832,16,
0.003939776,16,
-0.00874036,16,
0.004262868,16,
0.004444907,16,
-0.006434036,16,
0.003249585,16,
0.004015174,16,
-0.00527716,12,
5.75E-04,16,
0.003271271,16,
-0.002766514,16,
-4.98E-04,16,
0.002896109,16,
-0.001770811,20,
-0.001975991,12,
0.004685919,12,
0.002827691,12,
-0.012216101,18,
0.010235184,18,
-0.001004251,18,
-0.001348619,18,
0.002026269,18,
-0.002336073,18,
0.001214246,18,
-0.002401318,18,
0.00248993,18,
-0.00194613,18,
0.002292178,18,
-9.95E-04,16,
-8.38E-05,16,
1.05E-04,16,
2.13E-04,16,
-4.39E-04,16,
-3.27E-04,16,
0.001030827,13,
0.003440133,12,
-0.003579508,12,
-0.009443727,15,
0.007015833,18,
0.008026131,18,
-0.008043002,18,
0.004751053,18,
-0.00958034,18,
0.007753018,18,
-0.001369297,18,
7.72E-04,18,
-0.002119173,18,
0.001760509,18,
-7.88E-04,18,
0.001911865,18,
-0.001606913,18,
0.00141155,18,
-0.001321446,18,
0.00113254,18,
-0.001181101,18,
3.84E-04,18,
-0.005498763,12,
0.005395259,15,
0.002098494,18,
0.003403292,18,
-0.014129274,18,
0.014370996,18,
-0.005209824,18,
-5.24E-04,18,
0.001849456,18,
-0.004804652,18,
0.004144172,18,
-0.003086732,16,
1.63E-04,18,
0.004040033,18,
-0.001878944,18,
-6.72E-04,18,
-6.62E-04,18,
9.99E-04,18,
-6.89E-05,18,
0.004007112,18,
6.10E-04,12,
-0.005853993,15,
-0.00437242,15,
