samples,frequencies,BPM
0,0,111
0,0,
6.73E-07,0,
-6.65E-05,0,
5.39E-04,2,
-1.74E-05,2,
-2.00E-04,2,
-6.52E-05,2,
0.001000236,1,
1.57E-04,1,
-3.12E-04,1,
-5.18E-04,1,
-3.23E-04,3,
1.27E-04,3,
-2.16E-04,3,
-6.05E-05,8,
6.15E-04,8,
1.47E-04,8,
-3.16E-05,8,
-1.69E-04,1,
-0.001524084,1,
5.22E-04,1,
2.96E-04,1,
9.04E-04,0,
4.03E-04,0,
-7.02E-05,0,
2.85E-04,0,
-7.80E-04,8,
-5.64E-04,8,
1.35E-05,8,
-1.11E-04,7,
5.64E-04,7,
7.62E-05,7,
-7.63E-04,7,
4.82E-04,92,
-2.27E-04,92,
7.81E-05,92,
0.001120399,92,
8.07E-04,93,
-1.97E-04,93,
1.36E-04,93,
-0.001600041,93,
-0.002171909,7,
-0.001756332,7,
0.008598664,7,
0.01690887,7,
-0.037399855,7,
-0.019671608,7,
0.01464597,7,
0.06135301,7,
-0.010631225,7,
-0.05335617,7,
-0.003154418,7,
0.025722055,7,
0.039177615,7,
-0.025761886,7,
-0.050559998,7,
0.022286808,7,
0.02140135,7,
0.017738005,7,
-0.015036752,7,
-0.030605093,7,
0.004059062,7,
0.007534476,7,
0.004698922,8,
-5.25E-04,8,
0.002045912,8,
6.86E-04,8,
-7.68E-04,8,
-1.50E-04,8,
3.24E-05,8,
-6.07E-04,8,
0.00172099,8,
-0.002163831,8,
0.003332475,8,
0.003545649,8,
-0.00208821,8,
0.003264147,8,
0.002604653,8,
-0.001155292,8,
0.003887064,8,
-0.002319336,8,
-0.001116584,8,
-0.003822776,17,
-0.001584446,17,
-0.002188963,17,
0.004696117,17,
-0.006537045,17,
0.003958085,17,
0.00896308,17,
0.003600401,9,
-0.010494232,9,
-0.007534252,9,
0.017949497,9,
-0.00610273,17,
-0.017677084,17,
0.026134828,17,
-0.010752622,17,
-0.007313111,17,
-5.46E-04,17,
0.016042149,17,
-0.01019489,17,
-0.009932013,9,
0.017649034,9,
-0.002377005,9,
-0.011462156,10,
0.009845622,10,
0.008978226,10,
-0.031959757,10,
0.011685316,10,
0.041541606,10,
-0.052722145,10,
-0.01447341,10,
0.08158998,10,
-0.042130977,10,
-0.05177823,10,
0.06758634,10,
0.014390721,10,
-0.05309677,10,
-0.01637369,10,
0.06504339,10,
-0.014735278,10,
-0.03863716,10,
0.008903615,10,
0.018706378,10,
-0.002654132,10,
-0.005028444,10,
-0.006746741,10,
0.009114097,10,
0.00350997,10,
-0.003527137,10,
-0.007558149,10,
0.009704814,10,
0.001038159,10,
-0.007806666,10,
0.00198297,11,
0.002791798,11,
0.001325271,11,
-6.80E-04,11,
-0.005791945,10,
0.001220928,10,
6.86E-04,10,
0.002113455,10,
3.70E-04,10,
-0.001676111,10,
-0.001391691,10,
0.02012264,10,
-0.015922884,10,
-0.0488877,10,
0.09917663,10,
-0.047329735,10,
-0.047026467,10,
0.033108205,10,
0.0525405,10,
-0.062460955,10,
-0.028197456,10,
0.06853407,10,
-0.003707325,10,
-0.04532152,10,
-0.002078225,10,
0.06441587,10,
-0.049039952,10,
-0.00453186,10,
0.011091121,10,
0.025134368,10,
-0.039003372,20,
0.018636703,20,
0.009307076,20,
-0.027720844,20,
0.02261936,10,
-0.00113476,10,
-0.004279754,10,
-0.020247852,10,
0.038579267,10,
-0.006107443,10,
-0.026045183,10,
-0.002528695,10,
0.023398343,10,
0.015515721,10,
-0.02833198,10,
-0.015334971,10,
0.017707039,10,
0.029080447,10,
-0.017970478,10,
-0.039436676,10,
0.017483206,10,
0.05053913,10,
-0.025116976,10,
-0.048338946,10,
0.04604306,10,
0.020895341,10,
-0.05360379,10,
0.028723998,19,
-0.021021787,19,
0.028044084,19,
-0.025339799,10,
0.027505651,10,
-0.006518644,10,
-0.033377815,10,
0.060143415,10,
-0.036248714,10,
-0.034378164,10,
0.07170655,10,
-0.03950119,9,
-0.00550472,9,
0.005287619,9,
7.55E-04,9,
0.00384499,9,
0.030761158,9,
-0.04526183,9,
0.053175308,18,
-0.06925672,18,
0.03787938,18,
-0.023837706,18,
-0.011021558,9,
0.051734477,9,
-0.034444023,9,
0.03462825,9,
-0.03860956,9,
0.018531013,9,
0.00307891,9,
-0.03198186,9,
0.039156634,9,
-0.02931505,9,
0.017491845,9,
1.30E-04,9,
-0.005542643,9,
0.023612527,9,
-0.031553715,9,
0.018705929,18,
-0.012861027,18,
0.009630203,18,
-0.012834325,18,
0.008891948,9,
-0.011534186,9,
0.019363403,9,
-0.017006032,9,
0.015664605,9,
-0.00859945,9,
2.41E-04,9,
0.004358853,9,
-0.012132645,9,
0.012014501,9,
-0.010064967,9,
0.008463915,9,
0.001434326,9,
-0.017291462,9,
0.02627126,9,
-0.041071836,18,
0.018663744,18,
0.014971453,18,
-0.009415346,18,
0.044139974,9,
-0.058606766,9,
0.032976486,9,
-0.025676616,9,
-0.014615564,9,
0.043581232,9,
-0.03784752,9,
0.033368167,9,
-0.020056443,9,
0.008040372,9,
0.00903971,9,
-0.025822023,9,
0.035469055,9,
-0.038926966,9,
0.021886937,9,
-0.014031803,19,
0.009904973,19,
-0.010138119,19,
0.01876775,9,
-0.010473588,9,
0.01695745,9,
-0.019686082,9,
0.015361786,9,
-0.008947821,9,
-0.003334719,9,
0.007800046,9,
-0.00814292,9,
0.008991915,9,
