samples,frequencies,BPM
-5.04E-06,184,93
1.55E-05,184,
2.73E-04,184,
0.00989267,244,
0.016252626,244,
0.017104631,244,
0.009431545,327,
-0.010972212,327,
-0.03082225,327,
-0.026001278,0,
-0.013341693,0,
-0.001790891,0,
0.005525429,0,
0.008220924,0,
0.005224959,0,
0.001395305,0,
-8.42E-04,0,
-0.001364721,1,
7.60E-04,1,
0.001955578,1,
0.003248878,0,
0.002736835,0,
0.001520165,0,
9.86E-04,160,
2.58E-04,160,
7.33E-04,160,
0.001197849,234,
0.002044308,234,
0.003130909,234,
0.002609959,163,
0.002139255,163,
0.002448632,160,
0.001780304,160,
0.001278512,160,
-0.001037194,308,
-0.002195719,308,
-0.003577749,308,
-0.002789602,160,
-4.27E-04,160,
0.001287586,160,
0.002010194,158,
-1.85E-05,158,
-5.51E-04,158,
-0.004551589,365,
-0.0090289,365,
-0.012391211,280,
-0.00673941,280,
4.38E-04,280,
0.002466782,0,
0.003826965,0,
0.004993388,0,
0.00328316,0,
0.002156228,0,
6.08E-04,0,
-0.002058088,0,
-0.003413062,0,
-0.00269684,0,
-0.002055903,0,
-8.82E-04,0,
4.62E-04,0,
0.001233307,0,
0.004125923,0,
0.005609285,342,
0.004075676,342,
0.002389311,342,
0.001820131,363,
0.002481066,363,
0.002742885,363,
0.002761202,401,
0.002643232,401,
9.55E-04,401,
-3.45E-04,344,
-0.002034729,344,
-0.003893176,344,
-0.005581053,0,
-0.005013386,0,
-0.003503808,0,
-0.002244453,0,
-4.75E-04,0,
0.002312513,276,
0.00584825,276,
0.009038984,276,
0.009727982,335,
0.009636059,335,
-0.005798508,335,
-0.019704003,0,
-0.012568503,0,
-0.007937931,0,
-0.006329541,0,
-0.005323603,0,
-0.001048622,0,
0.001242549,0,
0.001690062,0,
0.00262105,0,
0.003208715,0,
0.003591193,0,
0.003550189,0,
0.003994341,0,
0.003710843,0,
0.001903483,0,
0.001634102,0,
0.002812121,0,
0.002426786,0,
0.002596683,0,
0.002211012,0,
0.003303326,302,
0.003050077,302,
0.002896481,282,
0.002750279,282,
0.002547949,282,
0.001838113,276,
2.61E-04,276,
-0.001247759,276,
-0.003696055,0,
-0.006168046,0,
-0.007860125,0,
-0.006776549,0,
-0.003818226,0,
1.34E-04,0,
0.003554054,160,
0.004325396,160,
0.005710451,317,
0.004066266,317,
-0.001657797,317,
-0.006805957,336,
-0.006974342,336,
-0.004504704,336,
-0.003800245,0,
-0.004853236,0,
-0.006077636,0,
-0.005402754,0,
-0.004683675,0,
-0.003648833,0,
-0.002541731,0,
-1.59E-04,0,
0.002681883,0,
0.004537473,0,
0.00575784,0,
0.007446726,0,
0.008317553,0,
0.00923476,0,
0.008798506,0,
0.009062175,0,
0.006880571,0,
0.006330549,302,
0.004467229,302,
0.002095227,302,
-9.04E-04,357,
-0.004492604,357,
-0.005277054,357,
-0.005260249,0,
-0.005734818,0,
-0.006088391,0,
-0.006109901,0,
-0.00660682,0,
-0.005763217,0,
-0.002722551,0,
0.002198912,0,
0.007304221,0,
0.01095171,0,
0.011679695,0,
0.014211344,299,
0.011179919,299,
-0.030819224,299,
-0.03006452,0,
-0.020714479,0,
-0.016595613,0,
-0.013489744,0,
-0.006671015,0,
0.003423313,0,
