samples,frequencies,BPM
0,4,63
0,4,
7.83E-06,4,
1.03E-04,4,
3.89E-04,4,
-3.21E-04,4,
-0.00194843,4,
-0.003582881,4,
0.004144326,4,
0.002285884,4,
0.00433017,4,
-0.005817902,4,
-0.002854176,4,
-0.001973861,4,
1.84E-04,4,
-0.004858359,4,
-0.008287674,4,
0.0903555,4,
0.24425507,4,
-0.26412964,4,
0.35591418,4,
-0.4844685,4,
0.42399478,4,
-0.12262882,4,
-0.29904878,4,
0.47604585,4,
-0.08684109,4,
-0.46814647,4,
0.24959074,4,
0.47202966,4,
-0.15499897,4,
-0.466066,4,
-0.28731322,4,
0.46867958,2,
0.4790213,2,
0.316703,2,
-0.4682756,2,
-0.4792766,2,
-0.4728816,2,
0.3920237,2,
0.476485,2,
0.47338143,2,
-0.09276854,2,
-0.46938282,2,
-0.47529757,2,
-0.25012872,2,
0.46890062,2,
0.47510782,2,
0.4717421,2,
-0.2997863,2,
-0.46878716,2,
-0.4691207,2,
-0.14759748,2,
0.47280627,2,
0.48173463,2,
0.47871906,2,
-0.29220092,2,
-0.47055757,2,
-0.47517923,2,
-0.26467934,2,
0.47204334,2,
0.47940964,2,
0.48573712,2,
-0.061552584,2,
-0.47539344,2,
-0.47040597,2,
-0.4795573,2,
0.3206341,2,
0.47256175,2,
0.4714545,2,
0.4246648,2,
-0.47495133,2,
-0.4734137,2,
-0.46454895,2,
-0.28538042,2,
0.48054817,2,
0.47385973,2,
0.46765643,2,
0.20566499,2,
-0.45177165,2,
-0.47714916,2,
-0.4716932,2,
-0.22164564,2,
0.47121194,2,
0.47380984,2,
0.47075027,2,
0.28360415,2,
-0.48162216,2,
-0.47629723,2,
-0.4891537,2,
-0.4252028,2,
0.4832654,2,
0.4771433,2,
0.47547364,2,
0.47409448,2,
-0.2775065,2,
-0.47343326,2,
-0.4789763,2,
-0.46546543,2,
-0.02637423,2,
0.4721666,2,
0.46839297,2,
0.4748173,2,
0.42752975,2,
-0.47382158,2,
-0.46780804,2,
-0.47969425,2,
-0.47254512,2,
0.03395276,2,
0.4781351,2,
0.47563404,2,
0.46482086,2,
0.47543648,2,
-0.41699725,2,
-0.4849341,2,
