samples,frequencies,BPM
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,21,
0.0,21,
0.0,21,
0.0,21,
0.0,21,
0.0,21,
0.0,21,
0.0,21,
0.0,21,
-1.9090057E-6,21,
3.8180115E-6,21,
-1.5272046E-5,21,
-5.727017E-6,21,
7.636023E-6,21,
2.6726082E-5,21,
-4.0089122E-5,21,
-1.3363041E-5,21,
7.826924E-5,21,
-3.608021E-4,21,
-4.237993E-4,21,
0.0013553941,21,
4.600704E-4,21,
-0.0019147329,21,
-2.4435273E-4,21,
0.0011454035,21,
-0.0019013698,21,
-2.5580678E-4,21,
0.0064619845,21,
-0.0028883258,21,
-0.005538026,21,
0.0063054464,21,
-0.0013668481,21,
-0.007958645,21,
0.012662436,21,
3.6271111E-4,21,
-0.021226235,21,
0.015251047,21,
0.022572085,21,
-0.036076393,21,
-0.010409809,21,
0.055179812,21,
-0.019634124,21,
-0.056584843,21,
0.051375166,21,
0.041173436,21,
-0.077812985,21,
-0.0077333828,21,
0.086758584,21,
-0.03371495,21,
-0.067515805,21,
0.054693017,21,
0.040835544,21,
-0.0599886,21,
-0.008930329,21,
0.03398412,21,
0.004974869,21,
-0.0108717885,21,
-0.012509715,21,
-0.007552027,21,
0.03761696,21,
0.016005104,16,
-0.0784315,16,
0.001649381,16,
0.1003068,16,
-0.032598183,16,
-0.09247797,16,
0.058654204,16,
0.047551427,16,
