samples,frequencies,BPM
-1.51E-05,18,120
8.09E-05,18,
-0.024197431,2,
0.04341165,2,
-0.03467392,14,
-0.015445945,14,
-0.048322763,2,
0.037113708,2,
0.07547418,2,
0.050368045,2,
0.019634394,4,
-0.021672124,4,
0.021288138,3,
0.06290117,3,
-0.006746141,3,
-0.12758775,3,
-0.064907916,3,
0.091520354,3,
0.06261943,3,
-0.008208311,0,
-0.02479559,0,
-0.02439801,0,
-0.10397008,0,
-0.021873094,2,
-0.050947465,2,
0.02016817,2,
0.11191259,2,
0.045252714,2,
0.039486762,2,
-0.026834663,3,
0.026939986,3,
0.042530857,3,
-0.018009624,3,
-0.10093566,3,
-0.047834013,3,
-0.007377245,3,
0.06363788,3,
0.07662094,3,
0.005106996,3,
-0.001472686,3,
-0.02175071,0,
-0.02446116,0,
-0.23482752,3,
0.0466514,3,
0.12116251,2,
0.037760526,2,
0.04905947,2,
-0.018088043,2,
0.026497604,2,
0.006271542,3,
-0.017803954,3,
-0.07914988,3,
-0.052986093,3,
0.028986052,3,
0.08411307,3,
0.03724241,3,
-0.039799657,3,
0.001243301,3,
0.04868902,3,
0.001674831,3,
-0.021571666,0,
-0.025325395,0,
-0.082046196,2,
0.05296288,2,
0.024116887,2,
-0.020112405,2,
0.020617489,3,
0.026353294,3,
-0.04699769,3,
-0.057389494,3,
-0.051816735,3,
0.040952735,3,
0.07070447,3,
0.029913493,3,
-0.012841268,3,
0.00345314,3,
0.014606152,3,
0.0332617,3,
-0.015011953,3,
9.04E-04,4,
-0.013010188,4,
-0.023547031,0,
-0.02266747,0,
-0.058858823,3,
0.028840343,3,
0.035224255,14,
-0.059460897,14,
-0.047360085,2,
-0.04072749,2,
0.05390844,3,
0.07812332,3,
0.024523526,3,
-0.001814554,3,
-0.002550701,3,
0.041390363,3,
0.047310304,3,
-0.04926816,3,
-0.11993006,3,
0.05538493,3,
0.058167424,3,
-0.007642931,3,
-0.022475895,3,
-0.022566285,1,
0.039644662,1,
-0.13227485,4,
0.12203508,5,
-0.019227361,5,
0.026796348,6,
-0.015631367,6,
0.001035058,7,
0.04783832,7,
-0.022156456,7,
0.04946348,7,
-0.019573985,7,
-0.02714448,7,
-0.002748148,7,
-0.034637507,7,
0.01594991,7,
0.006323672,7,
0.002857723,7,
-0.013607451,0,
-0.021940552,0,
-0.020904262,7,
-0.051162813,7,
0.045863904,7,
0.027133629,7,
-0.018522033,7,
0.03440074,7,
0.043506343,7,
0.034681976,7,
-0.009844045,7,
-0.020096296,7,
-0.01301276,7,
0.005863951,7,
-0.004955919,7,
-0.00519705,7,
-0.03636833,7,
-0.006993761,29,
0.009016111,29,
0.023600671,29,
-0.002517029,29,
-0.021306874,0,
-0.023719363,0,
-0.011421047,7,
-0.04205603,7,
0.015371273,7,
0.07153659,7,
-0.04432354,7,
0.004235936,7,
0.053630453,7,
-0.019939065,7,
0.05614994,7,
-0.023153087,7,
-0.015001046,7,
-0.006634274,7,
-0.032480974,7,
0.022991104,7,
0.0086041,7,
-0.021633418,27,
0.018924816,27,
-0.004184925,27,
-0.018152142,27,
-0.021271246,0,
-0.0373842,0,
-0.012456106,3,
-0.08181452,5,
0.12846021,5,
-0.001365293,4,
0.022947978,4,
0.033384196,3,
0.025334792,3,
-0.028589536,3,
-0.1009365,3,
-0.042217515,3,
0.011863765,3,
0.06541462,3,
0.046946786,3,
-0.050692573,3,
0.001292411,3,
0.0703504,3,
0.031061258,1,
-0.014330789,1,
-0.026987195,0,
-0.02671183,0,
-0.050701637,2,
0.006203638,2,
-0.034149315,3,
-0.07903225,3,
0.012955484,3,
0.06404821,3,
0.102872826,2,
0.020798324,2,
-0.024765497,3,
-0.015052225,3,
0.057803012,3,
0.028180433,3,
-0.09283732,3,
-0.0892779,3,
-0.024052897,3,
0.103949726,3,
0.057378754,3,
-0.008966553,0,
-0.024596408,0,
-0.025672747,0,
-0.12545668,0,
-0.049745444,14,
-0.034939498,14,
0.094285674,2,
0.09790645,2,
0.048620835,3,
-0.043484867,3,
-7.36E-04,3,
0.056255545,3,
0.019848397,3,
-0.09061607,3,
-0.064617,3,
-0.029799331,3,
0.050722443,3,
0.07663117,3,
-0.015721029,3,
0.035109982,3,
0.001007651,3,
-0.022356588,0,
-0.025400348,0,
-0.24962883,2,
0.11659522,2,
0.07876136,2,
0.08564695,2,
-0.03439246,2,
0.010163652,2,
0.0230184,2,
0.01426613,3,
-0.076956764,3,
-0.07514747,4,
